id,name,description,price,quantity
1,SSD Drive,Top-rated by users worldwide,41708.75,422
2,Ceiling Fan,Compact and lightweight design,9144.29,128
3,Tripod Stand,Premium build with modern features,27190.42,121
4,Monitor Arm,Best-in-class performance,28537.82,255
5,Ceiling Fan,Designed for comfort and usability,42443.11,304
6,Hair Dryer,High quality and durable product,11498.14,338
7,Surge Protector,Top-rated by users worldwide,44291.08,348
8,Room Heater,Energy efficient and reliable,29214.57,178
9,USB-C Charger,Energy efficient and reliable,22878.17,7
10,Air Fryer,Ideal for home and office use,23329.97,423
11,Portable Power Bank,Compact and lightweight design,46894.19,62
12,Memory Card,Advanced technology with sleek design,20519.14,416
13,USB Hub,Top-rated by users worldwide,46962.17,437
14,Portable Power Bank,Best-in-class performance,23191.92,128
15,Mouse Pad XL,Advanced technology with sleek design,49120.23,112
16,Smartphone Stand,Best-in-class performance,14375.88,450
17,Bluetooth Earbuds,Best-in-class performance,37034.95,98
18,Extension Cord,Best-in-class performance,44228.44,269
19,Extension Cord,Top-rated by users worldwide,47131.52,222
20,Laptop Stand,Premium build with modern features,45136.57,389
21,Smart Bulb,Designed for comfort and usability,4449.29,302
22,WiFi Router,Advanced technology with sleek design,7112.25,451
23,Air Fryer,Top-rated by users worldwide,9523.91,343
24,Keyboard Wrist Rest,Designed for comfort and usability,37182.25,175
25,Ergonomic Mouse,Long-lasting and affordable,13716.68,8
26,USB-C Charger,Long-lasting and affordable,36134.1,311
27,DSLR Camera Bag,Compact and lightweight design,37872.08,87
28,Memory Card,Compact and lightweight design,45162.94,351
29,Wireless Mouse,Compact and lightweight design,17398.36,88
30,Tablet Cover,Best-in-class performance,5355.19,370
31,Wireless Mouse,High quality and durable product,22651.98,312
32,Mouse Pad XL,Premium build with modern features,11230.62,214
33,Screen Protector,Long-lasting and affordable,15333.46,446
34,Graphics Tablet,Energy efficient and reliable,43089.02,86
35,Tripod Stand,Ideal for home and office use,21775.23,304
36,Ethernet Cable,Premium build with modern features,9560.39,21
37,Table Fan,Compact and lightweight design,26412.21,332
38,Memory Card,Long-lasting and affordable,3284.5,260
39,USB Hub,Top-rated by users worldwide,23265.11,137
40,Phone Case,Long-lasting and affordable,38615.12,450
41,Hair Dryer,Ideal for home and office use,47396.19,322
42,Electric Iron,Designed for comfort and usability,48827.82,329
43,Water Bottle Steel,Advanced technology with sleek design,16281.98,168
44,Hair Dryer,Designed for comfort and usability,38466.66,490
45,Electric Kettle,Energy efficient and reliable,41838.62,272
46,Air Purifier,Top-rated by users worldwide,3754.66,289
47,USB Hub,High quality and durable product,39250.84,476
48,Electric Kettle,Designed for comfort and usability,38023.68,453
49,Portable Power Bank,Best-in-class performance,23508.14,152
50,Air Purifier,Long-lasting and affordable,20788.62,370
51,External Hard Drive,High quality and durable product,248.17,112
52,Portable Power Bank,Long-lasting and affordable,36535.84,469
53,Fitness Tracker,Compact and lightweight design,36332.52,385
54,Office Chair,Best-in-class performance,20967.37,125
55,Electric Kettle,High quality and durable product,3664.69,454
56,Keyboard Wrist Rest,Top-rated by users worldwide,31089.67,268
57,Keyboard Wrist Rest,High quality and durable product,6138.59,399
58,Keyboard Wrist Rest,Ideal for home and office use,26620.87,184
59,Smart Watch,Long-lasting and affordable,49010.43,441
60,Gaming Chair,High quality and durable product,24487.02,7
61,Gaming Keyboard,Designed for comfort and usability,3125.28,13
62,Electric Kettle,Designed for comfort and usability,19291.25,192
63,Wireless Mouse,Best-in-class performance,35061.84,129
64,WiFi Router,Long-lasting and affordable,9448.89,43
65,Bluetooth Earbuds,Top-rated by users worldwide,39116.57,70
66,Hair Dryer,Premium build with modern features,32103.56,277
67,Air Purifier,Designed for comfort and usability,28639.23,352
68,Gaming Keyboard,High quality and durable product,22910.59,354
69,DSLR Camera Bag,Compact and lightweight design,41094.85,66
70,Smart Bulb,Energy efficient and reliable,5034.2,279
71,Fitness Tracker,High quality and durable product,34250.0,244
72,Ergonomic Mouse,Premium build with modern features,25922.87,292
73,Graphics Tablet,Designed for comfort and usability,27778.34,396
74,Smartphone Stand,Long-lasting and affordable,21680.42,178
75,Office Chair,Long-lasting and affordable,23147.36,422
76,Laptop Stand,Best-in-class performance,43822.52,290
77,Smartphone Stand,Best-in-class performance,20451.16,131
78,Air Purifier,Advanced technology with sleek design,12689.6,391
79,Mixer Grinder,Best-in-class performance,42577.38,457
80,Coffee Maker,Ideal for home and office use,24463.46,241
81,External Hard Drive,Top-rated by users worldwide,14595.69,71
82,Laptop Backpack,High quality and durable product,28293.99,311
83,Electric Kettle,Long-lasting and affordable,18593.9,237
84,Noise Cancelling Headphones,Energy efficient and reliable,13321.48,424
85,Webcam HD,Advanced technology with sleek design,744.43,49
86,Air Fryer,Energy efficient and reliable,28466.84,76
87,Fitness Tracker,Premium build with modern features,48283.76,404
88,Mechanical Keyboard,Designed for comfort and usability,27954.06,250
89,Table Fan,Energy efficient and reliable,29386.58,150
90,Extension Cord,Best-in-class performance,18579.16,355
91,Hair Dryer,Ideal for home and office use,16337.64,427
92,Webcam HD,High quality and durable product,17595.58,206
93,Smart Watch,Long-lasting and affordable,15972.96,305
94,Electric Iron,Advanced technology with sleek design,17789.71,30
95,LED Monitor,Energy efficient and reliable,11115.8,10
96,Memory Card,Top-rated by users worldwide,16589.64,156
97,Keyboard Wrist Rest,Advanced technology with sleek design,10734.2,77
98,Air Purifier,Ideal for home and office use,35777.93,200
99,USB Hub,Designed for comfort and usability,24960.1,116
100,Bluetooth Earbuds,Compact and lightweight design,30879.84,177
